GEN,		MIN,			AVE,			MAX,
0,		0.92685,		0.99523,		0.99800,
1,		0.99798,		0.99799,		0.99800,
2,		0.99799,		0.99800,		0.99800,
3,		0.99800,		0.99800,		0.99800,
4,		0.99800,		0.99800,		0.99800,
5,		0.99800,		0.99800,		0.99800,
6,		0.99800,		0.99800,		0.99800,
7,		0.99800,		0.99800,		0.99800,
8,		0.99800,		0.99800,		0.99800,
9,		0.99800,		0.99800,		0.99800,
10,		0.99800,		0.99800,		0.99800,
11,		0.99800,		0.99800,		0.99800,
12,		0.99800,		0.99800,		0.99800,
13,		0.99800,		0.99800,		0.99800,
14,		0.99800,		0.99800,		0.99800,
15,		0.99800,		0.99800,		0.99800,
16,		0.99800,		0.99800,		0.99800,
17,		0.99800,		0.99800,		0.99800,
18,		0.99800,		0.99800,		0.99800,
19,		0.99800,		0.99800,		0.99800,
20,		0.99800,		0.99800,		0.99800,
21,		0.99800,		0.99800,		0.99800,
22,		0.99800,		0.99800,		0.99800,
23,		0.99800,		0.99800,		0.99800,
24,		0.99800,		0.99800,		0.99800,
25,		0.99800,		0.99800,		0.99800,
26,		0.99800,		0.99800,		0.99800,
27,		0.99800,		0.99800,		0.99800,
28,		0.99800,		0.99800,		0.99800,
29,		0.99800,		0.99800,		0.99800,
30,		0.99800,		0.99800,		0.99800,
31,		0.99800,		0.99800,		0.99800,
32,		0.99800,		0.99800,		0.99800,
33,		0.99800,		0.99800,		0.99800,
34,		0.99800,		0.99800,		0.99800,
35,		0.99800,		0.99800,		0.99800,
36,		0.99800,		0.99800,		0.99800,
37,		0.99800,		0.99800,		0.99800,
38,		0.99800,		0.99800,		0.99800,
39,		0.99800,		0.99800,		0.99800,
40,		0.99800,		0.99800,		0.99800,
41,		0.99800,		0.99800,		0.99800,
42,		0.99800,		0.99800,		0.99800,
43,		0.99800,		0.99800,		0.99800,
44,		0.99800,		0.99800,		0.99800,
45,		0.99800,		0.99800,		0.99800,
46,		0.99800,		0.99800,		0.99800,
47,		0.99800,		0.99800,		0.99800,
48,		0.99800,		0.99800,		0.99800,
49,		0.99800,		0.99800,		0.99800,
50,		0.99800,		0.99800,		0.99800,
51,		0.99800,		0.99800,		0.99800,
52,		0.99800,		0.99800,		0.99800,
53,		0.99800,		0.99800,		0.99800,
54,		0.99800,		0.99800,		0.99800,
55,		0.99800,		0.99800,		0.99800,
56,		0.99800,		0.99800,		0.99800,
57,		0.99800,		0.99800,		0.99800,
58,		0.99800,		0.99800,		0.99800,
59,		0.99800,		0.99800,		0.99800,
60,		0.99800,		0.99800,		0.99800,
61,		0.99800,		0.99800,		0.99800,
62,		0.99800,		0.99800,		0.99800,
63,		0.99800,		0.99800,		0.99800,
64,		0.99800,		0.99800,		0.99800,
65,		0.99800,		0.99800,		0.99800,
66,		0.99800,		0.99800,		0.99800,
67,		0.99800,		0.99800,		0.99800,
68,		0.99800,		0.99800,		0.99800,
69,		0.99800,		0.99800,		0.99800,
70,		0.99800,		0.99800,		0.99800,
71,		0.99800,		0.99800,		0.99800,
72,		0.99800,		0.99800,		0.99800,
73,		0.99800,		0.99800,		0.99800,
74,		0.99800,		0.99800,		0.99800,
75,		0.99800,		0.99800,		0.99800,
76,		0.99800,		0.99800,		0.99800,
77,		0.99800,		0.99800,		0.99800,
78,		0.99800,		0.99800,		0.99800,
79,		0.99800,		0.99800,		0.99800,
80,		0.99800,		0.99800,		0.99800,
81,		0.99800,		0.99800,		0.99800,
82,		0.99800,		0.99800,		0.99800,
83,		0.99800,		0.99800,		0.99800,
84,		0.99800,		0.99800,		0.99800,
85,		0.99800,		0.99800,		0.99800,
86,		0.99800,		0.99800,		0.99800,
87,		0.99800,		0.99800,		0.99800,
88,		0.99800,		0.99800,		0.99800,
89,		0.99800,		0.99800,		0.99800,
90,		0.99800,		0.99800,		0.99800,
91,		0.99800,		0.99800,		0.99800,
92,		0.99800,		0.99800,		0.99800,
93,		0.99800,		0.99800,		0.99800,
94,		0.99800,		0.99800,		0.99800,
95,		0.99800,		0.99800,		0.99800,
96,		0.99800,		0.99800,		0.99800,
97,		0.99800,		0.99800,		0.99800,
98,		0.99800,		0.99800,		0.99800,
99,		0.99800,		0.99800,		0.99800,
