GEN,		MIN,			AVE,			MAX,
0,		19.47,		28.25,		37.13,
1,		19.83,		28.65,		37.13,
2,		20.20,		29.07,		37.13,
3,		21.13,		29.51,		37.43,
4,		21.17,		29.81,		37.57,
5,		21.43,		30.17,		37.90,
6,		21.83,		30.43,		37.93,
7,		21.83,		30.67,		38.07,
8,		22.47,		30.92,		38.17,
9,		22.77,		31.16,		38.33,
10,		22.87,		31.43,		38.30,
11,		22.93,		31.76,		38.43,
12,		23.60,		32.06,		38.63,
13,		23.93,		32.33,		38.77,
14,		24.37,		32.51,		38.60,
15,		24.40,		32.68,		38.80,
16,		24.87,		32.90,		38.83,
17,		25.23,		33.08,		39.10,
18,		25.60,		33.26,		39.20,
19,		25.60,		33.46,		39.23,
20,		25.33,		33.67,		39.00,
21,		25.83,		33.88,		39.17,
22,		26.07,		34.08,		39.37,
23,		26.57,		34.23,		39.50,
24,		26.40,		34.41,		39.57,
25,		26.33,		34.58,		39.63,
26,		26.60,		34.71,		39.80,
27,		27.13,		34.86,		39.80,
28,		27.13,		34.98,		39.83,
29,		28.00,		35.13,		39.93,
30,		28.07,		35.27,		39.97,
31,		28.07,		35.41,		39.97,
32,		28.20,		35.53,		40.03,
33,		28.37,		35.63,		40.03,
34,		28.37,		35.73,		40.07,
35,		28.80,		35.82,		40.07,
36,		28.67,		35.90,		40.13,
37,		29.13,		36.02,		40.10,
38,		29.17,		36.13,		40.13,
39,		29.83,		36.18,		40.00,
40,		29.53,		36.23,		40.07,
41,		29.53,		36.26,		40.17,
42,		29.83,		36.32,		40.20,
43,		29.87,		36.38,		40.23,
44,		29.87,		36.45,		40.27,
45,		29.97,		36.52,		40.27,
46,		30.10,		36.61,		40.23,
47,		30.17,		36.68,		40.20,
48,		30.27,		36.74,		40.20,
49,		30.30,		36.73,		40.23,
50,		30.17,		36.81,		40.33,
51,		30.33,		36.90,		40.30,
52,		30.73,		36.97,		40.30,
53,		30.63,		37.02,		40.30,
54,		30.67,		37.08,		40.40,
55,		30.37,		37.12,		40.40,
56,		30.47,		37.13,		40.50,
57,		30.57,		37.18,		40.40,
58,		30.90,		37.22,		40.33,
59,		30.93,		37.29,		40.37,
60,		30.87,		37.34,		40.33,
61,		31.17,		37.38,		40.30,
62,		30.93,		37.43,		40.47,
63,		31.07,		37.49,		40.47,
64,		31.23,		37.53,		40.50,
65,		31.47,		37.52,		40.40,
66,		31.80,		37.56,		40.40,
67,		31.73,		37.60,		40.40,
68,		31.97,		37.66,		40.50,
69,		31.80,		37.69,		40.47,
70,		31.70,		37.73,		40.50,
71,		31.73,		37.79,		40.40,
72,		32.00,		37.85,		40.47,
73,		32.17,		37.91,		40.43,
74,		32.27,		37.92,		40.47,
75,		32.13,		37.96,		40.50,
76,		31.87,		37.97,		40.57,
77,		32.27,		38.02,		40.50,
78,		32.10,		38.08,		40.50,
79,		32.20,		38.13,		40.47,
80,		32.30,		38.16,		40.57,
81,		32.03,		38.18,		40.57,
82,		32.30,		38.21,		40.53,
83,		32.37,		38.23,		40.53,
84,		32.43,		38.26,		40.53,
85,		33.00,		38.30,		40.57,
86,		33.17,		38.33,		40.50,
87,		32.57,		38.36,		40.50,
88,		32.83,		38.38,		40.53,
89,		33.03,		38.40,		40.50,
90,		32.87,		38.40,		40.53,
91,		33.07,		38.43,		40.57,
92,		32.87,		38.43,		40.50,
93,		32.43,		38.44,		40.57,
94,		32.53,		38.46,		40.57,
95,		32.47,		38.50,		40.57,
96,		32.60,		38.48,		40.53,
97,		32.67,		38.49,		40.57,
98,		32.67,		38.49,		40.57,
99,		32.23,		38.51,		40.57,
100,		32.47,		38.54,		40.57,
101,		32.37,		38.57,		40.57,
102,		32.77,		38.61,		40.57,
103,		33.13,		38.66,		40.57,
104,		32.73,		38.69,		40.60,
105,		32.83,		38.71,		40.60,
106,		33.10,		38.73,		40.60,
107,		33.40,		38.77,		40.57,
108,		33.10,		38.78,		40.57,
109,		33.00,		38.78,		40.60,
110,		33.03,		38.81,		40.60,
111,		33.43,		38.82,		40.60,
112,		33.07,		38.80,		40.57,
113,		33.10,		38.85,		40.57,
114,		33.33,		38.86,		40.60,
115,		33.17,		38.90,		40.57,
116,		33.87,		38.95,		40.57,
117,		34.10,		38.96,		40.57,
118,		33.70,		38.95,		40.57,
119,		33.47,		38.96,		40.57,
120,		33.63,		38.99,		40.57,
121,		33.83,		38.98,		40.57,
122,		33.90,		39.01,		40.57,
123,		33.73,		39.02,		40.60,
124,		33.53,		39.01,		40.57,
125,		33.23,		38.98,		40.57,
126,		33.13,		39.02,		40.57,
127,		33.27,		39.04,		40.60,
128,		33.20,		39.05,		40.60,
129,		33.00,		39.05,		40.60,
130,		33.17,		39.07,		40.60,
131,		33.73,		39.06,		40.60,
132,		33.33,		39.03,		40.57,
