GEN,		MIN,			AVE,			MAX,
0,		0.00808,		0.01128,		0.01838,
1,		0.00777,		0.01132,		0.01667,
2,		0.00818,		0.01112,		0.01746,
3,		0.00762,		0.01115,		0.01603,
4,		0.00758,		0.01119,		0.01712,
5,		0.00751,		0.01137,		0.01747,
6,		0.00853,		0.01138,		0.01794,
7,		0.00818,		0.01145,		0.01788,
8,		0.00765,		0.01163,		0.01916,
9,		0.00863,		0.01172,		0.01890,
10,		0.00809,		0.01123,		0.01852,
11,		0.00833,		0.01152,		0.01876,
12,		0.00785,		0.01152,		0.01901,
13,		0.00768,		0.01125,		0.01954,
14,		0.00800,		0.01142,		0.02245,
15,		0.00782,		0.01147,		0.01905,
16,		0.00777,		0.01164,		0.01820,
17,		0.00756,		0.01180,		0.01790,
18,		0.00832,		0.01149,		0.01778,
19,		0.00793,		0.01160,		0.02369,
20,		0.00821,		0.01169,		0.01697,
21,		0.00801,		0.01147,		0.01817,
22,		0.00831,		0.01170,		0.01917,
23,		0.00861,		0.01178,		0.01745,
24,		0.00863,		0.01173,		0.01984,
25,		0.00831,		0.01171,		0.02014,
26,		0.00889,		0.01162,		0.01724,
27,		0.00817,		0.01167,		0.01680,
28,		0.00809,		0.01194,		0.01979,
29,		0.00774,		0.01163,		0.01644,
30,		0.00884,		0.01209,		0.02022,
31,		0.00840,		0.01186,		0.02404,
32,		0.00860,		0.01201,		0.01973,
33,		0.00833,		0.01202,		0.01895,
34,		0.00820,		0.01198,		0.01971,
35,		0.00841,		0.01201,		0.02215,
36,		0.00754,		0.01195,		0.02082,
37,		0.00855,		0.01203,		0.02227,
38,		0.00779,		0.01198,		0.01941,
39,		0.00812,		0.01187,		0.01992,
40,		0.00789,		0.01205,		0.02074,
41,		0.00852,		0.01181,		0.01881,
42,		0.00807,		0.01182,		0.01875,
43,		0.00847,		0.01189,		0.01805,
44,		0.00832,		0.01170,		0.01731,
45,		0.00836,		0.01199,		0.01882,
46,		0.00840,		0.01192,		0.01800,
47,		0.00799,		0.01190,		0.01809,
48,		0.00850,		0.01184,		0.01826,
49,		0.00871,		0.01185,		0.01753,
50,		0.00799,		0.01169,		0.01890,
51,		0.00853,		0.01223,		0.02612,
52,		0.00831,		0.01180,		0.01809,
53,		0.00849,		0.01181,		0.01740,
54,		0.00870,		0.01204,		0.01812,
55,		0.00827,		0.01210,		0.01990,
56,		0.00810,		0.01177,		0.02436,
57,		0.00864,		0.01198,		0.02396,
58,		0.00837,		0.01198,		0.02764,
59,		0.00852,		0.01203,		0.02033,
60,		0.00864,		0.01193,		0.01881,
61,		0.00837,		0.01192,		0.01748,
62,		0.00817,		0.01224,		0.02432,
63,		0.00856,		0.01218,		0.01987,
64,		0.00869,		0.01216,		0.02237,
65,		0.00879,		0.01215,		0.01923,
66,		0.00817,		0.01207,		0.01837,
67,		0.00872,		0.01230,		0.02173,
68,		0.00848,		0.01208,		0.02057,
69,		0.00857,		0.01223,		0.01981,
70,		0.00855,		0.01205,		0.01860,
71,		0.00844,		0.01212,		0.02055,
72,		0.00756,		0.01244,		0.02377,
73,		0.00855,		0.01227,		0.01927,
74,		0.00839,		0.01218,		0.01894,
75,		0.00853,		0.01220,		0.02116,
76,		0.00798,		0.01243,		0.02058,
77,		0.00828,		0.01212,		0.01998,
78,		0.00880,		0.01235,		0.02357,
79,		0.00792,		0.01229,		0.01966,
80,		0.00810,		0.01240,		0.02024,
81,		0.00842,		0.01244,		0.02189,
82,		0.00860,		0.01235,		0.02227,
83,		0.00882,		0.01250,		0.01986,
84,		0.00848,		0.01236,		0.01910,
85,		0.00832,		0.01243,		0.02045,
86,		0.00912,		0.01254,		0.02684,
87,		0.00846,		0.01260,		0.02086,
88,		0.00880,		0.01253,		0.02063,
89,		0.00772,		0.01240,		0.02127,
90,		0.00837,		0.01228,		0.01925,
91,		0.00871,		0.01251,		0.02254,
92,		0.00880,		0.01244,		0.02100,
93,		0.00897,		0.01246,		0.02068,
94,		0.00860,		0.01242,		0.01988,
95,		0.00884,		0.01244,		0.02055,
96,		0.00838,		0.01243,		0.02572,
97,		0.00904,		0.01246,		0.02613,
98,		0.00874,		0.01244,		0.02093,
99,		0.00854,		0.01249,		0.02039,
100,		0.00857,		0.01238,		0.02138,
101,		0.00835,		0.01279,		0.02014,
102,		0.00845,		0.01245,		0.02090,
103,		0.00885,		0.01239,		0.01901,
104,		0.00826,		0.01257,		0.02047,
105,		0.00853,		0.01259,		0.02340,
106,		0.00842,		0.01273,		0.02275,
107,		0.00867,		0.01260,		0.02119,
108,		0.00904,		0.01256,		0.01941,
109,		0.00884,		0.01268,		0.02084,
110,		0.00805,		0.01259,		0.02157,
111,		0.00869,		0.01258,		0.02160,
112,		0.00892,		0.01250,		0.02185,
113,		0.00902,		0.01270,		0.02253,
114,		0.00844,		0.01230,		0.01939,
115,		0.00879,		0.01257,		0.01770,
116,		0.00851,		0.01267,		0.02314,
117,		0.00879,		0.01272,		0.02073,
118,		0.00871,		0.01239,		0.01872,
119,		0.00869,		0.01265,		0.02266,
120,		0.00822,		0.01231,		0.02248,
121,		0.00861,		0.01248,		0.01951,
122,		0.00810,		0.01242,		0.02342,
123,		0.00871,		0.01269,		0.02007,
124,		0.00883,		0.01257,		0.02205,
125,		0.00866,		0.01237,		0.02030,
126,		0.00832,		0.01256,		0.02233,
127,		0.00838,		0.01248,		0.02121,
128,		0.00909,		0.01252,		0.01980,
129,		0.00846,		0.01260,		0.02247,
130,		0.00876,		0.01252,		0.02079,
131,		0.00882,		0.01274,		0.01980,
132,		0.00892,		0.01266,		0.02007,
133,		0.00841,		0.01251,		0.02451,
134,		0.00820,		0.01259,		0.01881,
135,		0.00925,		0.01249,		0.01958,
136,		0.00871,		0.01245,		0.02245,
137,		0.00858,		0.01250,		0.01955,
